"all _ image _ url","Event Date - parsed","User","Latitude","Longitude","Occurrence status assumed to be present","Coordinate precision not valid","Country inferred from coordinates","Coordinates derived from verbatim coordinates","Coordinates converted to WGS84","First of the month","First of the year","Geodetic datum assumed WGS84","Habitat incorrect for species","Identification date before occurrence date","Incomplete collection date","Invalid collection date","Coordinates are transposed","Collector name unparseable","Coordinate uncertainty not valid"
"f862eedd-0b40-44fb-b9d2-487d0ce4177c","2017-06-05","","-38.5","146.6","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false"
"ae0cb433-c5e2-426f-aa24-92292381fd43","2020-06-12","helenmelon","-34.8945222222","138.6121611111","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"1fc1d1ca-a08b-4ced-adaf-f4dd5e2c8362","2020-06-25","reiner","-37.897485","145.57582","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"8031f7ca-583b-4079-8932-b817b123b0d3","2019-06-07","helencross","-35.275902","149.108503","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"249dcd24-d3eb-4715-94e5-ae76c70dea34","2019-06-22","","-36.691311","149.879375","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"eea3d288-d373-4b7c-9a13-b4252ff507ed","2019-06-05","jiggy","-35.1527786255","149.1399993896","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"b55fa3da-1706-42f7-9e7c-689dcc6ccc60","2016-06-11","","-38.4746515","146.7260982","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"435960ff-8c5f-4a5b-ae21-9dbe8831749c","2020-06-12","reiner","-37.7918030556","145.6591944444","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"","2012-06-12","","-33.88021","151.03838","true","false","false","false","false","false","false","true","false","false","false","false","false","false","false"
"","","","-41.25","147.15","true","false","false","false","false","false","false","true","false","false","true","true","false","false","false"
"807324a7-9b90-4531-aa0a-532e3d8cdfa0","2017-06-18","reiner","-37.4758331239","144.2866275099","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"","2013-06-03","","-31.50061979","116.3770186","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"07b29c87-ea8d-4b90-9bee-345c2be43520","2015-06-21","kenharris","-38.369444","146.385833","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"1660d9b8-85dc-4dbd-9bd4-4a583eb9fdda","2017-06-03","","-36.67268","149.8275","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"f0e782fb-f8f1-46c2-84a2-65f246d4a219","2020-06-05","stefanie_kethers","-37.91","145.039","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"3b2430b6-1557-4077-b704-e185b9b64b62","2019-06-26","bushbandit","-37.7509720828","145.1987038067","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"4e3fad15-647a-4d66-984c-343ea989556f","2019-06-21","80776","-35.06625414410446","138.56046080589294","false","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"7b7af958-7718-48e2-ab83-659b85f4740c","2020-06-09","mangrovewatch","-36.680325","149.84800833","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"c444963e-bd1d-4d90-951e-7f466002b773","2020-06-11","taylor1998","-38.5320754857","145.3395336669","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"0b87a9d2-3441-4832-9582-842f09bf83f1","2020-06-27","fionachaloner","-35.3730542372","149.2016467023","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"fe4766e6-af21-437d-8f4a-50140469f584","2018-06-03","","-35.1","138.6","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"6fa848a0-fdfd-4a8d-a435-22df1d47f1a3","2016-06-11","daviaker","-38.4746515","146.7260982","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
